term,abbreviation,synonyms,related,definition,audience,images,uuid
Centers for Disease Control and Prevention-National Prevention Information Network,CDC-NPIN,National Prevention Information Network,Centers for Disease Control and Prevention,"A service of the Centers for Disease Control and Prevention (CDC) that disseminates information on HIV/AIDS, viral hepatitis, other sexually transmitted diseases, and tuberculosis (TB). Information is available via the Web, phone, e-mail, and postal mail.",Advanced,,0421b539-aa09-4615-9da9-efb04afa3459
Chagas disease,,"American trypanosomiasis, South American trypanosomiasis",opportunistic infection,"A disease caused by the parasite Trypanosoma cruzi (a type of protozoa). Chagas disease is most commonly transmitted when people come into contact with the feces of an infected riduviid bug, a blood-sucking insect that feeds on humans and animals. In the earliest stage of infection, Chagas disease usually has few signs or symptoms. However, if untreated, the disease becomes a lifelong infection. In people with HIV, reactivation of chronic Chagas disease infection can cause inflammation of the brain and meninges (meningoencephalitis).",Advanced,,341402cd-7ba1-4589-afc9-9210374e0f9e
CDC-INFO,,,Centers for Disease Control and Prevention,"The Centers for Disease Control and Prevention's (CDC) national contact center. CDC-INFO provides science-based health information on more than 750 health topics to the public, health care providers, and public health professionals online and by phone, e-mail, and postal mail.",,,be5b54f5-8e74-403f-903f-702bf833bbf4
cell-mediated immunity,,cellular immunity,"humoral immunity, T lymphocyte","Type of immune response that is produced by the direct action of immune cells, such as T lymphocytes (T cells), rather than by antibodies.",,,4853c39f-07f3-4d67-bdd2-92c4575da96f
Centers for Disease Control and Prevention,CDC,,"CDC-INFO, Centers for Disease Control and Prevention-National Prevention Information Network","A federal agency that protects the health and safety of people at home and abroad through health promotion; prevention and control of disease, injury, and disability; public health workforce development and training; and preparedness for new health threats.",,,53a7a659-cb39-45b8-9d31-20d850edf9b7
Child-Turcotte-Pugh classification system,,Child-Pugh score,,"A classification system used to measure liver function, especially in people with chronic liver disease. The system may be used to assess liver function in people who have HIV/hepatitis C viurs (HCV) coinfection.",Advanced,,5ceb3272-839e-4c81-a896-56a9be4bc8e2
Centers for Medicare and Medicaid Services,CMS,Health Care Financing Administration,,"A federal agency that administers the Medicare program and monitors the Medicaid programs offered by each state, including the Children's Health Insurance Program.",,,8ac4e01c-3b4c-4e02-aef7-6dc9cd096d3f
central nervous system,CNS,,,The part of the nervous system that is made up of the brain and spinal cord. The central nervous system (CNS) serves as the main processing center for the entire nervous system and coordinates all body functions. HIV infection or use of some anti-retroviral (ARV) drugs can cause damage to the CNS.,Advanced,,d9a1604d-10f0-4351-b9c5-3e5a68d86761
cerebrospinal fluid,CSF,,,"A clear, nutrient-rich fluid that surrounds the brain and spinal cord. Cerebrospinal fluid (CSF) acts as a cushion, protecting the brain and spinal cord from injury.",,,e6021d9c-1e76-4b63-be3f-d0893e89e38c
cervical cancer,,,"cervix, human papillomavirus","A type of cancer that develops in the cervix (the lower, narrow end of the uterus). Cervical cancer is almost always caused by the human papillomavirus (HPV), which is spread through sexual contact. Invasive cervical cancer is an AIDS-defining condition.",,,cf528da0-0cd5-467b-aa4e-3006d72606d9
cervix,,,,"The lower, narrow end of the uterus (womb), which forms a canal between the uterus and vagina.",,,e94edbd4-dbea-4839-a0f9-36f3ec167fcf
cesarean delivery,,,"cesarean section, prevention of perinatal transmission","Delivery of a baby by a surgical incision through the mother's abdominal wall and uterus. In some pregnant women infected with HIV, a scheduled Cesarean delivery may reduce the risk of mother-to-child transmission of HIV.",Advanced,,a4009d44-6a6a-41af-a965-17be2d4f050d
cesarean section,,C-section,Cesarean delivery,Surgical incision through the abdominal wall and uterus to deliver a baby.,,,7744a5fe-f9d5-496a-8b65-e004529ab76a
chronic HIV infection,,asymptomatic HIV infection,"acquired immunodeficiency syndrome, acute HIV infection, HIV progression","The stage of HIV infection between acute HIV infection and the onset of AIDS. During chronic HIV infection, HIV levels gradually increase and the number of CD4 cells decrease. Declining CD4 cell levels indicate increasing damage to the immune system. anti-retroviral therapy (ART) can prevent HIV from destroying the immune system and advancing to AIDS.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Chronic-Infection-600.jpg,e5e32c80-8f8d-4531-939b-4eaa03ed9084
chancroid,,,,"A sexually transmitted infection caused by the bacterium Hemophilus ducreyi. Chancroid causes genital ulcers (sores), which increase the risk of HIV transmission.",Advanced,,fb3cd615-9cea-4620-8728-92185bc86205
chemokines,,,,Small proteins secreted by cells to mobilize and activate infection-fighting white blood cells. Chemokines are involved in many immune and inflammatory responses.,,,097b4d7d-a26c-4b6a-89ec-e9a7fbb007fd
chemoprevention,,chemoprophylaxis,,"Use of specific drugs, vitamins, or other substances to reverse, suppress, or prevent a disease.",,,426087e8-21f5-404d-9757-361854b1bfa9
chemotherapy,,,,"Use of chemical-based agents, such as drugs, to treat or control a disease. Similar to HIV infection, chemotherapy may result in immunosuppression.",Advanced,,fd9be0e1-2715-4610-82cc-e50e70efe889
coccidioidomycosis,,"desert fever, desert rheumamtism, San Joaquin Valley fever, valley fever","AIDS-defining condition, opportunistic infection","An infection caused by breathing in spores of the fungi Coccidioides immitis or Coccidioides posadasii. The infection starts in the lungs but can spread to other parts of the body, including the skin, brain, bones, and heart. In people with HIV, disseminated (extrapulmonary) coccidioidomycosis is an AIDS-defining condition.",Advanced,,f9b49f76-1769-47b3-9c8c-dc945951863f
chlamydia,,,sexually transmitted infection,"A common sexually transmitted infection caused by the bacterium Chlamydia trachomatis. Chlamydia often has mild or no symptoms, but if left untreated, it can lead to serious complications, including infertility. Chlamydia may increase the risk of HIV transmission.",Advanced,,58819b7b-7305-4cca-953b-3aa2763146cb
cholangiopathy,,,,"Bile duct disease. (Bile ducts are tubes that carry bile from the gallbladder to the small intestine, where the bile is used to digest fats.) Cholangiopathy may occur as a complication of AIDS or may be caused by certain opportunistic infections.",,,362f08b6-0af3-4267-a9ef-1ee0d321fbe8
cholesterol,,,Atherosclerosis,"A waxy, fat-like substance that is made by the liver or absorbed from animal food sources such as eggs, meat, and dairy products. The body uses cholesterol to insulate nerves, make cell tissues, and produce certain hormones. Excess cholesterol, however, can clog the arteries and lead to heart disease. Some anti-retroviral (ARV) drugs may cause high cholesterol levels.",,,f1dcac30-24bc-435d-96d2-d1eaa0c3b8e3
chromosome,,,,"A thread-like structure found within a cell. Chromosomes, which are made of DNA coiled around proteins, carry all of the genetic information essential to the life of the cell.",,,98c1030c-fa07-4406-a64f-eb88e7a7060c
condom,,prophylactic,,"A product used during sex (including vaginal, anal, or oral sex) to prevent the transmission of sexually transmitted infections, such as HIV, and/or the likelihood of pregnancy. The male condom is a thin rubber cover that fits over a man's erect penis. The female condom is a polyurethane pouch that fits inside the vagina.",Newly Infected,,6ce606a6-1d48-44ca-86d6-647e5a47db16
chronic inflammatory demyelinating polyneuropathy,CIDP,,"myelin, peripheral nervous system","A rare neurological disorder in which the immune system mistakenly attacks part of the peripheral nervous system. Chronic inflammatory demyelinating polyneuropathy (CIDP) primarily destroys the myelin that covers the peripheral nerves, causing the nerve signals to slow down. This damage can gradually weaken the legs and, to a lesser extent, the arms. CIDP has been associated with HIV infection.",Advanced,,b66dab0c-5c74-4514-9f2a-b0dcda045110
circumoral,,,,Pertaining to the area of the face around the mouth.,,,3f6c4d4c-c8d7-49e4-9b44-38f37a424739
class-sparing gegimen,,,drug class,An anti-retroviral (ARV) drug regimen that purposefully excludes all ARV drugs from a specific drug class. Class-sparing regimens are used to save specific ARV drugs for future use in case a regimen needs to be changed because of toxicity or drug resistance. A class-sparing regimen may also be used to avoid adverse effects associated with a specific drug class.,,,e0518e51-13ed-424d-b6c1-ed4d1786611b
clastogenic,,,chromosome,"Causing breaks in chromosomes, which results in sections of a chromosome being deleted or rearranged. Before being approved, drugs—including anti-retroviral (ARV) drugs—are tested to assess their potential for clastogenic effects.",,,e4e167c4-fb4a-4e47-88e5-c08173ae165b
clinical alert,,,clinical trial,"An early notice of urgent findings from federally funded clinical trials. Clinical alerts are disseminated in a variety of ways, including online, to advise health care professionals and others of research findings that could affect patient care.",,,f0bb7578-28a0-43c3-b228-2be10536c253
clinical endpoint,,"endpoint, outcome measure","clinical trial, surrogate endpoint","In a clinical trial, an outcome or event used to objectively measure the effect of a drug or other intervention being studied. Common endpoints include severe toxicity, disease progression, and death.",,,f372b7cc-a1c0-45bf-a65b-2a955e89e955
clinical failure,,,"AIDS-defining condition, anti-retroviral therapy, immune reconstitution inflammatory syndrome, treatment failure",A type of HIV treatment failure. The occurrence or recurrence of an HIV-related complication (excluding IRIS) after more than 3 months of anti-retroviral therapy (ART) is considered clinical failure.,Living with HIV,,a1374d9b-4cc2-4822-8f55-4f01856a2774
clinical progression,,,"CD4 count, HIV progression","Advance of disease that can be measured by observable and diagnosable signs or symptoms. For example, HIV progression can be measured by change in CD4 count.",Newly Infected,,970ff127-f528-4f7c-b934-c2cbb5656f27
clinical trial,,Interventional Study,"interventional trial, observational trial, phase 1 trial, phase 2 trial, phase 3 trial, phase 4 trial","A research study that determines whether a new drug (or other intervention) is both safe and effective for humans. People volunteer to participate in clinical trials (also called interventional studies) to help find better ways to treat, prevent, diagnose, and understand human disease. Clinical trials are conducted in “phases.” Results from Phase 1, 2, and 3 trials are used to determine whether a new drug should be approved for sale in the United States. Once a new drug is approved, researchers continue to track its safety in Phase 4 trials.",,https://aidsinfo.nih.gov/images/glossaryimages/Clinical-Trial-600.jpg,cd9e2ed2-5222-407c-a52f-5e5c0c569bb7
ClinicalTrials.gov,,,clinical trial,"An online, searchable database of up-to-date information on thousands of federally and privately supported clinical trials for a wide range of diseases and conditions, including HIV infection. The site provides information about a trial's purpose, who may participate, study site locations, and contact information. ClinicalTrials.gov is managed by the federal government.",Living with HIV,,157f9b2e-bed3-48ab-a2f6-4628d5f97441
Cmax,,peak concentration,"Cmin, pharmacokinetics","A pharmacokinetic measure used to determine drug dosing. Cmax is the highest concentration of a drug in the blood, cerebrospinal fluid, or target organ after a dose is given.",,,93299290-bdb5-4a67-96a1-99a92597ad67
Cmin,,"trough concentration, trough level","Cmax, pharmacokinetics","A pharmacokinetic measure used to determine drug dosing. Cmin is the lowest concentration of a drug in the blood, cerebrospinal fluid, or target organ after a dose is given.",,,e76e31fc-f700-494f-9a33-1b75b5b07538
